financial_year,gp_prac,sub_icb,management_type,primary_proc,bph_primary_proc,bph_diagnosis,num
2019/20,F86691,Q87,EL,M611,1,0,4
2021/22,Y02767,01G,EL,M653,1,1,1
2022/23,K84030,10Q,EL,M654,1,1,2
2019/20,H81083,09L,EL,M653,1,1,2
2021/22,H84623,36L,EL,M651,1,0,2
2022/23,B81077,85J,EL,M611,1,0,1
2022/23,E86605,W2U3Z,EL,M653,1,1,2
2019/20,H85686,08T,EL,M651,1,1,1
2019/20,G85721,08Q,EL,M672,1,1,1
2022/23,H81094,14G,EL,M611,1,1,1
2022/23,P81732,01A,EL,M653,1,1,1
2018/19,C81106,01Y,EL,M653,1,1,4
2019/20,B86108,13V,EL,M611,1,0,1
2022/23,H83043,36L,EL,M658,1,1,1
2018/19,L84078,14F,EL,M611,1,0,2
2018/19,E85098,Q71,EL,M611,1,0,1
2019/20,A81035,00M,EL,M654,1,0,3
2020/21,J83008,92G,DC,M672,1,1,1
2021/22,C84704,52R,EL,M653,1,1,2
2018/19,L84038,14F,EL,M619,1,0,1
2022/23,F83681,93C,EL,M653,1,1,1
2021/22,E84031,W2U3Z,EL,M421,0,1,1
2021/22,K84044,10Q,EL,M653,1,1,1
2021/22,J82067,14G,EL,M611,1,0,1
2021/22,J82035,D9Y0V,EL,M711,1,0,1
2019/20,M81062,15E,EL,M653,1,0,1
2022/23,B85610,X2C4Y,EL,M651,1,0,1
2019/20,K81655,15D,EL,M653,1,1,2
2020/21,H81088,99M,EL,M658,1,1,1
2021/22,H82095,VPP,EL,M651,1,1,1
2018/19,E85663,13R,EL,M611,1,0,1
2019/20,D81017,06H,DC,M654,1,0,1
2022/23,G82076,91Q,EL,M653,1,1,2
2021/22,P92038,27T,EL,M611,1,0,1
2020/21,L81029,15C,EL,M651,1,1,2
2019/20,Y02476,15A,EL,M653,1,1,2
2019/20,M88013,14C,EL,M619,1,0,1
2020/21,C82076,71E,EL,M768,0,1,1
2020/21,G82020,10E,EL,M653,1,0,2
2022/23,B87039,03R,EL,M653,1,1,1
2020/21,K82007,14Y,EL,M421,0,1,1
2020/21,M81044,14F,EL,M619,1,0,1
2021/22,D83041,06L,EL,M654,1,1,1
2019/20,N83637,VPP,EL,M654,1,1,1
2022/23,F81213,06T,EL,M653,1,1,2
2022/23,J82129,D9Y0V,EL,M653,1,1,1
2020/21,C84030,52R,EL,M651,1,0,1
2018/19,G82791,10D,EL,M653,1,1,2
2019/20,G81008,09F,EL,M651,1,0,1
2022/23,H81085,92A,DC,M656,1,1,2
2022/23,G84627,72Q,DC,M654,1,1,2
2018/19,B87030,03R,DC,M654,1,1,1
2019/20,D82066,06V,EL,M654,1,0,1
2020/21,H81069,14G,EL,M611,1,0,3
2019/20,Y01756,05C,EL,M651,1,1,1
2018/19,H82052,14G,EL,M611,1,0,2
2018/19,E82133,Q71,EL,M611,1,0,2
2022/23,A85010,13T,DC,M654,1,1,3
2018/19,E85041,07W,EL,M653,1,0,1
2019/20,C83073,04D,EL,M653,1,1,5
2020/21,K81026,15A,EL,M653,1,0,1
2018/19,L82001,14F,EL,M611,1,0,2
2018/19,M81012,05F,EL,M653,1,0,1
