gp_practice_code,num
A81002,1
A81004,2
A81005,2
A81006,1
A81009,1
A81011,2
A81012,2
A81013,1
A81019,2
A81020,3
A81021,7
A81022,1
A81023,2
A81026,4
A81027,3
A81030,3
A81031,1
A81032,3
A81034,4
A81035,1
A81036,4
A81040,1
A81041,5
A81042,1
A81044,7
A81045,4
A81046,1
A81048,2
A81051,1
A81052,3
A81053,1
A81054,2
A81057,1
A81058,1
A81065,2
A81066,1
A81067,1
A81070,1
A81610,1
A81611,1
A81618,3
A81629,3
A81631,1
A82003,1
A82005,2
A82007,2
A82008,3
A82009,1
A82010,1
A82012,4
A82013,1
A82015,1
A82016,12
A82018,1
A82020,5
A82021,2
A82022,2
A82025,3
A82026,7
A82027,3
A82030,3
A82031,1
A82033,1
A82034,1
A82035,3
A82036,4
A82038,2
A82041,1
A82045,4
A82046,2
A82047,2
A82053,1
A82062,1
A82064,1
A82065,1
A82068,1
A82071,1
A82072,1
A82075,2
A82608,2
A82617,1
A82631,1
A82646,1
A82651,1
A82654,1
A83003,3
A83005,2
A83007,2
A83008,2
A83009,2
A83010,3
A83011,4
A83012,2
A83013,2
A83015,2
A83017,2
A83018,3
A83020,1
A83021,1
A83022,11
A83023,4
A83024,1
A83025,4
A83026,7
A83027,3
A83028,3
A83030,5
A83032,1
A83033,5
A83035,3
A83036,1
A83037,3
A83038,3
A83041,4
A83043,2
A83044,2
A83045,2
A83046,1
A83047,4
A83048,1
A83049,1
A83050,2
A83051,1
A83054,1
A83057,3
A83060,1
A83066,2
A83071,1
A83073,3
A83074,6
A83603,1
A83610,2
A83616,2
A83617,1
A83618,2
A83622,1
A83634,1
A83641,1
A84002,1
A84003,3
A84005,5
A84006,4
A84007,2
A84008,1
A84009,5
A84011,4
A84014,2
A84016,1
A84018,1
A84020,3
A84022,2
A84024,2
A84025,1
A84026,2
A84028,2
A84029,1
A84030,2
A84031,1
A84035,1
A84036,8
A84037,1
A84038,2
A84043,2
A84044,1
A84045,1
A84047,1
A84609,1
A85002,1
A85004,3
A85005,2
A85006,2
A85007,4
A85008,4
A85010,2
A85011,1
A85012,2
A85013,1
A85014,1
A85016,2
A85018,1
A85019,1
A85020,2
A85021,1
A85023,1
A85024,1
A85026,1
A85611,1
A85614,2
A85616,1
A85617,1
A86003,3
A86004,3
A86006,4
A86008,2
A86010,1
A86011,3
A86012,2
A86016,2
A86017,4
A86018,1
A86020,1
A86021,3
A86023,4
A86024,1
A86026,1
A86029,6
A86030,2
A86031,3
A86033,1
A86035,1
A86036,2
A86037,1
A86038,3
A86041,3
A86601,2
A87002,1
A87003,2
A87004,5
A87005,4
A87007,3
A87009,1
A87012,1
A87013,2
A87015,1
A87016,3
A87019,1
A87020,1
A87023,1
A87027,1
A87030,3
A87612,4
A88001,1
A88002,4
A88003,5
A88004,1
A88006,1
A88007,3
A88008,3
A88009,2
A88012,1
A88013,2
A88015,3
A88016,2
A88022,3
A88025,2
A89001,2
A89002,3
A89004,2
A89005,1
A89006,2
A89007,2
A89008,1
A89009,3
A89010,1
A89011,1
A89012,5
A89013,1
A89015,3
A89016,4
A89017,2
A89019,1
A89020,1
A89021,3
A89023,2
A89024,1
A89026,2
A89027,1
A89028,1
A89030,1
A89032,2
A89035,2
A89040,2
A89603,3
A89614,1
A89617,1
A89623,1
A91039,1
A91113,1
A91219,1
B81002,3
B81003,3
B81004,18
B81005,5
B81006,6
B81007,5
B81008,10
B81009,3
B81010,4
B81011,3
B81013,2
B81014,3
B81015,3
B81017,7
B81018,2
B81020,6
B81021,2
B81022,9
B81023,2
B81024,5
B81025,18
B81026,4
B81027,5
B81029,10
B81030,1
B81031,7
B81034,8
B81035,5
B81036,3
B81037,4
B81038,1
B81039,6
B81040,6
B81041,1
B81042,6
B81043,6
B81045,5
B81046,4
B81048,21
B81050,2
B81051,6
B81053,1
B81054,3
B81056,4
B81058,5
B81060,3
B81061,9
B81062,2
B81063,5
B81064,3
B81065,3
B81066,1
B81068,9
B81069,6
B81070,3
B81074,1
B81075,2
B81077,1
B81082,2
B81085,1
B81087,5
B81088,2
B81091,3
B81092,6
B81097,1
B81099,3
B81100,2
B81101,10
B81109,2
B81112,3
B81118,3
B81119,5
B81602,2
B81603,1
B81606,1
B81616,1
B81619,1
B81628,1
B81631,3
B81635,2
B81642,1
B81645,2
B81648,1
B81653,2
B81656,1
B81658,2
B81675,5
B81677,2
B81688,1
B81697,1
B82001,1
B82002,3
B82004,4
B82005,11
B82007,1
B82008,3
B82010,4
B82011,2
B82012,3
B82013,3
B82014,3
B82017,1
B82018,3
B82019,1
B82020,2
B82021,4
B82022,2
B82023,2
B82024,1
B82025,3
B82026,10
B82027,5
B82028,6
B82029,1
B82030,2
B82031,5
B82032,4
B82033,2
B82036,4
B82037,5
B82038,6
B82041,9
B82042,1
B82044,5
B82046,1
B82049,1
B82050,6
B82053,3
B82054,9
B82059,3
B82060,8
B82061,3
B82062,1
B82063,5
B82066,1
B82067,1
B82068,2
B82069,3
B82071,2
B82072,3
B82073,2
B82074,5
B82077,5
B82078,1
B82079,1
B82080,8
B82081,3
B82083,5
B82086,1
B82088,11
B82091,2
B82097,1
B82098,1
B82100,3
B82104,1
B82105,2
B82106,1
B82609,2
B82622,1
B82628,2
B83002,1
B83005,2
B83006,2
B83008,3
B83009,5
B83010,3
B83012,1
B83013,2
B83014,2
B83015,4
B83016,1
B83017,2
B83018,1
B83019,2
B83020,2
B83021,2
B83022,2
B83023,3
B83027,1
B83028,5
B83029,2
B83030,3
B83032,1
B83033,12
B83037,3
B83038,1
B83039,5
B83040,4
B83041,3
B83042,1
B83043,1
B83045,3
B83049,1
B83052,2
B83055,4
B83056,1
B83061,1
B83063,3
B83067,1
B83611,1
B83614,3
B83620,1
B83621,1
B83624,3
B83638,1
B83642,1
B83657,1
B84003,2
B84004,3
B84005,1
B84006,4
B84007,4
B84008,6
B84009,6
B84010,1
B84012,1
B84013,4
B84014,1
B84016,3
B84019,2
B84021,3
B84613,1
B84618,1
B84623,1
B85001,1
B85002,1
B85004,2
B85005,3
B85008,3
B85009,1
B85010,1
B85012,5
B85014,5
B85015,4
B85016,5
B85018,4
B85019,8
B85020,4
B85021,1
B85022,4
B85024,3
B85025,5
B85026,1
B85027,4
B85028,1
B85030,6
B85031,2
B85032,2
B85033,3
B85036,1
B85037,1
B85038,1
B85041,2
B85042,1
B85051,2
B85054,5
B85055,1
B85059,1
B85060,1
B85061,1
B85606,1
B85610,2
B85612,1
B85619,1
B85622,2
B85640,2
B85641,1
B85646,6
B85650,1
B85652,1
B85655,1
B85660,1
B86002,2
B86003,5
B86004,2
B86005,1
B86006,9
B86007,2
B86008,6
B86009,7
B86010,7
B86011,2
B86012,5
B86014,3
B86015,6
B86016,9
B86017,3
B86018,5
B86019,2
B86020,1
B86022,3
B86023,1
B86024,2
B86028,1
B86030,8
B86032,5
B86033,4
B86034,4
B86035,4
B86036,12
B86038,2
B86039,1
B86041,2
B86042,3
B86043,7
B86044,7
B86048,8
B86049,1
B86050,5
B86051,2
B86052,2
B86054,3
B86055,2
B86056,1
B86057,4
B86059,3
B86060,5
B86061,1
B86062,2
B86064,11
B86066,2
B86067,3
B86068,2
B86069,2
B86070,3
B86071,7
B86074,2
B86075,2
B86081,4
B86089,1
B86092,3
B86093,2
B86094,1
B86096,2
B86101,3
B86104,3
B86106,3
B86108,1
B86109,1
B86625,2
B86633,1
B86642,1
B86648,1
B86658,3
B86667,2
B86672,2
B86673,1
B86675,1
B87001,4
B87002,6
B87003,4
B87004,5
B87005,3
B87006,4
B87007,4
B87008,4
B87009,5
B87011,9
B87012,3
B87013,7
B87015,4
B87016,14
B87017,7
B87018,4
B87019,3
B87020,4
B87021,3
B87022,2
B87025,2
B87026,7
B87027,5
B87028,3
B87030,14
B87031,4
B87032,4
B87033,1
B87036,1
B87039,5
B87040,4
B87042,1
B87044,1
B87602,4
B87604,1
C81001,2
C81002,6
C81003,3
C81005,2
C81006,4
C81007,1
C81008,1
C81009,3
C81010,4
C81012,5
C81014,1
C81015,2
C81017,2
C81020,1
C81021,2
C81022,2
C81025,1
C81026,2
C81027,1
C81028,2
C81029,3
C81030,3
C81032,5
C81033,2
C81034,3
C81035,1
C81036,1
C81037,1
C81038,6
C81039,4
C81040,1
C81041,6
C81042,3
C81044,4
C81045,3
C81047,1
C81048,1
C81049,1
C81051,4
C81052,2
C81054,1
C81055,3
C81056,1
C81057,4
C81058,3
C81059,1
C81061,5
C81062,1
C81063,2
C81065,3
C81067,1
C81068,3
C81069,1
C81070,1
C81071,2
C81072,1
C81073,1
C81074,2
C81075,1
C81076,1
C81077,1
C81080,2
C81081,2
C81083,1
C81084,9
C81086,3
C81089,5
C81091,3
C81092,1
C81094,2
C81095,2
C81097,1
C81099,1
C81101,1
C81108,2
C81113,2
C81114,6
C81115,2
C81604,1
C81634,2
C81638,2
C81642,2
C81649,1
C81652,1
C81655,1
C81658,3
C81660,2
C81661,3
C81662,3
C82001,5
C82002,2
C82003,1
C82007,1
C82008,1
C82009,3
C82010,2
C82011,2
C82012,2
C82013,1
C82014,4
C82016,1
C82017,4
C82018,2
C82019,3
C82020,1
C82021,1
C82022,1
C82024,1
C82025,6
C82026,1
C82027,1
C82028,1
C82029,2
C82030,2
C82031,1
C82032,3
C82033,3
C82034,2
C82035,1
C82036,2
C82038,10
C82039,4
C82041,2
C82042,3
C82043,4
C82044,2
C82046,3
C82047,4
C82048,2
C82050,4
C82051,2
C82052,1
C82054,1
C82055,4
C82056,1
C82061,3
C82062,3
C82063,1
C82064,3
C82066,6
C82067,2
C82068,1
C82070,1
C82071,4
C82073,2
C82075,3
C82076,2
C82077,4
C82078,3
C82079,3
C82080,1
C82084,1
C82086,1
C82091,1
C82092,1
C82093,9
C82095,5
C82096,2
C82098,3
C82102,1
C82109,5
C82112,1
C82120,2
C82121,3
C82122,1
C82600,1
C82610,2
C82611,1
C82626,1
C82631,3
C82639,1
C82642,1
C82644,2
C82649,1
C82651,2
C82660,1
C82667,1
C82669,1
C82676,1
C83002,1
C83003,3
C83007,5
C83008,1
C83010,2
C83011,2
C83013,1
C83014,3
C83015,2
C83018,1
C83019,7
C83020,2
C83022,4
C83023,5
C83025,1
C83026,5
C83027,5
C83028,2
C83029,1
C83030,1
C83031,3
C83032,2
C83033,1
C83036,1
C83037,1
C83038,2
C83039,2
C83040,5
C83041,1
C83042,1
C83043,2
C83044,1
C83045,2
C83046,3
C83048,5
C83049,3
C83052,1
C83054,2
C83055,2
C83056,3
C83057,1
C83060,3
C83061,4
C83063,5
C83064,2
C83065,1
C83067,3
C83072,4
C83073,1
C83074,3
C83078,3
C83080,1
C83082,2
C83085,4
C83611,2
C83613,3
C83614,2
C83626,2
C83637,2
C83641,2
C83643,1
C83649,3
C83653,1
C84001,12
C84005,2
C84008,1
C84009,3
C84010,1
C84011,1
C84012,5
C84013,4
C84014,1
C84016,3
C84017,6
C84019,2
C84020,2
C84021,2
C84023,2
C84024,9
C84028,2
C84029,2
C84030,1
C84031,1
C84032,5
C84034,1
C84035,3
C84039,1
C84042,1
C84043,1
C84044,2
C84045,1
C84047,1
C84049,3
C84051,2
C84053,3
C84055,1
C84059,3
C84060,3
C84061,1
C84064,1
C84065,1
C84066,2
C84069,2
C84072,2
C84077,2
C84078,1
C84080,3
C84081,2
C84084,2
C84086,1
C84087,1
C84090,1
C84091,2
C84094,2
C84095,2
C84101,3
C84106,3
C84107,6
C84112,2
C84113,1
C84114,2
C84116,1
C84120,2
C84122,1
C84123,1
C84124,3
C84129,1
C84135,1
C84140,1
C84144,1
C84605,1
C84624,1
C84646,2
C84647,1
C84654,1
C84658,1
C84660,1
C84667,2
C84680,1
C84683,2
C84696,1
C84709,1
C85001,1
C85003,1
C85004,4
C85005,1
C85006,1
C85007,4
C85008,6
C85010,4
C85013,2
C85014,3
C85016,2
C85017,3
C85018,3
C85020,9
C85022,4
C85023,1
C85024,3
C85026,2
C85030,2
C85033,2
C85614,1
C85619,2
C85623,3
C85627,1
C86001,3
C86002,2
C86003,1
C86005,3
C86006,3
C86007,10
C86009,4
C86011,1
C86012,1
C86013,3
C86015,1
C86016,5
C86017,3
C86018,3
C86019,7
C86020,3
C86021,1
C86022,1
C86023,2
C86024,2
C86025,2
C86026,3
C86029,2
C86032,1
C86033,1
C86037,2
C86605,1
C86609,2
C86611,2
C86613,3
C86614,2
C86616,1
C86621,3
C86625,2
C87002,6
C87003,4
C87004,2
C87005,7
C87006,6
C87007,2
C87008,5
C87009,4
C87010,1
C87013,3
C87015,1
C87016,4
C87017,4
C87018,5
C87020,2
C87022,4
C87029,2
C87030,2
C87031,1
C87604,1
C87616,2
C87620,2
C87622,2
C88005,2
C88006,2
C88007,4
C88008,5
C88009,2
C88010,5
C88014,1
C88015,4
C88016,6
C88018,2
C88019,3
C88020,1
C88022,1
C88023,6
C88024,2
C88025,4
C88026,2
C88028,1
C88030,3
C88031,2
C88032,2
C88034,2
C88035,2
C88036,7
C88037,6
C88038,3
C88039,1
C88040,4
C88041,5
C88043,3
C88045,3
C88046,1
C88048,1
C88049,5
C88050,1
C88052,3
C88053,2
C88054,4
C88062,1
C88069,3
C88070,3
C88072,4
C88074,3
C88076,1
C88077,2
C88078,1
C88079,2
C88085,2
C88087,2
C88088,2
C88091,1
C88092,3
C88095,5
C88096,2
C88647,1
C88648,1
C88655,2
C88656,2
D81001,4
D81002,1
D81003,3
D81008,5
D81010,3
D81011,1
D81012,2
D81013,3
D81014,2
D81015,2
D81016,1
D81017,1
D81018,3
D81021,2
D81022,5
D81023,1
D81025,1
D81026,3
D81027,1
D81029,3
D81030,1
D81031,7
D81033,1
D81034,4
D81036,3
D81038,1
D81043,9
D81044,2
D81045,2
D81046,2
D81047,1
D81051,1
D81052,3
D81054,1
D81055,1
D81057,4
D81058,1
D81059,1
D81060,1
D81061,2
D81062,2
D81064,4
D81066,2
D81081,3
D81082,1
D81085,2
D81086,2
D81602,1
D81603,1
D81606,1
D81611,2
D81615,1
D81618,1
D81623,1
D81625,3
D81629,1
D81633,1
D81637,1
D81645,1
D82001,5
D82002,4
D82003,3
D82004,2
D82005,8
D82006,4
D82007,4
D82008,2
D82009,3
D82010,1
D82011,3
D82012,1
D82013,3
D82015,1
D82016,1
D82017,2
D82018,5
D82019,7
D82020,7
D82022,1
D82023,4
D82024,3
D82025,1
D82026,2
D82027,3
D82028,3
D82029,4
D82030,2
D82031,4
D82032,1
D82034,4
D82036,4
D82037,6
D82038,1
D82039,2
D82041,2
D82042,2
D82043,5
D82044,10
D82045,5
D82046,1
D82047,1
D82048,3
D82049,1
D82050,2
D82051,4
D82053,5
D82054,5
D82056,3
D82057,1
D82058,9
D82059,1
D82060,1
D82062,1
D82063,5
D82064,2
D82065,1
D82067,2
D82068,2
D82070,3
D82071,3
D82072,1
D82073,4
D82078,4
D82079,3
D82084,2
D82085,3
D82088,1
D82096,1
D82099,5
D82100,3
D82104,2
D82105,2
D82106,1
D82600,1
D82604,2
D82613,2
D82621,1
D82624,4
D83001,2
D83002,2
D83003,1
D83005,5
D83006,3
D83007,1
D83008,2
D83009,4
D83010,4
D83011,2
D83012,4
D83013,2
D83014,2
D83015,3
D83016,2
D83017,3
D83018,1
D83021,4
D83023,1
D83024,4
D83026,2
D83027,2
D83028,4
D83029,1
D83030,1
D83033,3
D83034,2
D83035,2
D83037,6
D83038,3
D83041,5
D83043,1
D83044,3
D83045,1
D83046,5
D83047,7
D83048,9
D83049,3
D83050,4
D83051,4
D83053,6
D83054,1
D83055,5
D83056,5
D83057,8
D83058,3
D83059,5
D83060,7
D83061,2
D83062,4
D83069,3
D83070,4
D83075,2
D83076,1
D83078,3
D83079,2
D83080,4
D83081,4
D83082,1
D83084,1
D83608,3
D83610,2
D83615,1
E81002,1
E81003,2
E81004,1
E81005,4
E81006,1
E81007,1
E81008,3
E81009,2
E81012,2
E81013,4
E81014,2
E81015,3
E81019,3
E81021,1
E81022,1
E81025,1
E81028,1
E81029,3
E81031,2
E81032,2
E81033,4
E81034,1
E81035,3
E81036,1
E81037,4
E81040,1
E81046,2
E81047,1
E81048,1
E81050,2
E81052,3
E81056,2
E81057,1
E81059,1
E81061,1
E81069,1
E81073,1
E81076,2
E81077,1
E81617,2
E82001,6
E82004,2
E82005,6
E82006,3
E82007,1
E82008,2
E82009,2
E82012,3
E82013,5
E82014,1
E82015,1
E82017,1
E82018,1
E82019,3
E82020,3
E82022,5
E82023,1
E82024,3
E82027,3
E82031,1
E82032,2
E82035,4
E82037,5
E82038,2
E82040,3
E82041,1
E82043,1
E82044,2
E82045,4
E82046,1
E82048,1
E82050,1
E82051,4
E82053,7
E82055,2
E82056,1
