gp_practice_code,num
V81999,277
G82071,206
J81005,133
B82026,131
B82005,127
D82044,127
G81039,126
B83624,122
D83060,120
G82090,119
J81027,118
M85063,118
G82097,117
J81019,115
V81998,113
C84024,112
G82119,112
J82056,110
K82073,108
H81133,107
B82028,106
C83063,104
H81013,101
J81006,101
D82058,100
G81029,100
B83006,96
J81010,94
K83002,93
B82020,92
H82017,92
G82666,92
G81041,92
G82105,90
J82139,90
C83026,89
J81073,88
G82114,87
G82063,85
E84024,85
D83009,84
K81022,84
F81052,84
K82023,83
N83028,81
B86044,81
B83021,81
B87016,81
B81037,81
Y01008,79
K81047,79
G82126,79
J82143,79
J81041,78
B82025,78
J84015,78
J82007,78
C84001,77
J84019,77
L83100,77
C83019,77
G82060,76
G81003,76
J82130,76
M87011,75
B82080,75
K82016,74
B83027,74
C87002,74
G82087,74
L83095,73
M83006,73
D82004,73
J82094,73
J83001,73
J83003,73
B82083,72
F81067,72
L85008,72
B83055,72
M89003,71
D83055,71
G81022,71
F81123,71
B84008,71
C82038,71
H81056,71
G82809,70
D82003,70
J83018,70
G83053,70
B81061,70
L85016,70
H82057,70
M84043,70
D81008,69
F81125,69
F81019,69
M89017,69
D82001,69
J82017,69
G82021,69
G82037,69
D83005,68
G82050,68
D82045,68
G82059,68
B86032,67
J82018,67
B83014,67
M81019,67
D83044,66
B82007,66
D83048,66
G84015,66
J83040,66
A85020,66
G82027,66
B83033,66
D82064,66
K83021,65
B86048,65
J82074,65
D82011,65
G82160,65
C84017,65
H83024,65
G82111,65
G82036,64
K82021,64
G82135,64
L83016,64
J82144,64
N81020,64
K81006,64
N85008,64
E82001,64
K84027,64
F81043,63
L81004,63
A82035,63
M87024,63
B81039,63
J83030,63
H82007,63
F81094,63
G81032,63
B82053,62
D82029,62
D83002,62
G82039,62
J84010,62
A82012,62
H82034,62
J82035,62
D82054,62
G82074,61
E81037,61
N81032,61
A82044,61
H82043,61
J81009,61
J83006,61
B86033,61
N81087,61
E82096,61
B85019,61
B87013,61
Y00159,61
A83022,61
G83057,61
G82161,61
G82007,61
D83035,61
J82131,61
G81088,61
L83013,60
C87008,60
B82050,60
D81057,60
M84013,60
L83067,60
H81017,60
B81010,60
F81014,60
F81087,60
J82069,60
P81029,59
B86064,59
M81048,59
J84014,59
K81069,59
J84005,59
F81017,59
J82049,59
K83032,59
M87003,59
G84004,59
G82020,59
C83004,59
L83050,59
L83020,59
F81157,59
F81133,58
L81079,58
F81100,58
G81004,58
M82004,58
L83045,58
G82107,58
P85013,58
J82089,57
D83011,57
J82132,57
G82228,57
E82005,57
G82079,57
F81127,57
E81015,57
L83069,57
L83103,57
E82074,57
G83004,57
J81081,57
G81099,57
J81028,57
C84035,56
H81064,56
H81009,56
G82038,56
G82080,56
