gp_practice_code,num
A81002,4
A81004,1
A81005,1
A81006,1
A81007,1
A81011,3
A81013,1
A81014,1
A81017,1
A81018,1
A81019,1
A81021,1
A81022,3
A81027,1
A81029,1
A81030,2
A81031,3
A81032,3
A81036,2
A81038,1
A81039,1
A81041,2
A81042,1
A81043,3
A81044,4
A81045,1
A81046,2
A81047,1
A81048,1
A81049,2
A81051,1
A81054,1
A81057,2
A81058,2
A81060,2
A81064,1
A81067,1
A81602,1
A81611,1
A81618,1
A81622,3
A81631,2
A82003,1
A82005,1
A82006,3
A82007,4
A82008,3
A82009,1
A82010,5
A82012,4
A82013,1
A82014,1
A82016,2
A82017,1
A82020,2
A82021,4
A82022,2
A82024,1
A82026,3
A82027,3
A82028,1
A82031,1
A82032,2
A82033,2
A82034,1
A82035,1
A82037,1
A82044,1
A82045,1
A82046,1
A82047,2
A82053,2
A82058,1
A82060,1
A82062,4
A82063,1
A82071,1
A82072,2
A82608,1
A82617,1
A83001,2
A83003,4
A83004,1
A83005,5
A83007,1
A83008,3
A83009,3
A83011,2
A83012,2
A83013,1
A83015,2
A83016,1
A83018,2
A83019,1
A83022,1
A83023,1
A83024,1
A83025,1
A83026,2
A83028,1
A83030,2
A83034,3
A83040,1
A83041,1
A83042,1
A83044,1
A83045,2
A83046,1
A83047,2
A83050,1
A83051,1
A83054,6
A83057,2
A83060,1
A83070,2
A83073,2
A83074,1
A83075,2
A83610,1
A83618,2
A83619,1
A83627,2
A83635,1
A83636,1
A84005,1
A84006,4
A84007,2
A84009,1
A84013,1
A84014,1
A84016,1
A84021,1
A84022,2
A84025,1
A84026,1
A84027,2
A84028,1
A84030,1
A84031,2
A84033,2
A84036,2
A84038,1
A84040,2
A84042,1
A84043,1
A84048,1
A84604,2
A85001,1
A85003,1
A85005,1
A85008,1
A85009,1
A85010,1
A85011,1
A85012,1
A85013,2
A85016,1
A85018,1
A85020,1
A85026,1
A85620,1
A86003,1
A86004,1
A86005,1
A86008,1
A86010,1
A86011,1
A86016,1
A86017,2
A86018,1
A86020,2
A86024,1
A86025,3
A86026,1
A86029,2
A86033,1
A86601,1
A87002,1
A87003,2
A87005,1
A87006,2
A87007,4
A87009,1
A87011,1
A87013,2
A87015,2
A87016,3
A87019,1
A87027,1
A87030,1
A88001,1
A88002,1
A88003,1
A88006,1
A88007,1
A88008,2
A88009,1
A88012,3
A88013,6
A88015,1
A88016,2
A88025,1
A88608,3
A88614,1
A89001,1
A89003,1
A89004,4
A89005,3
A89006,1
A89007,4
A89010,1
A89012,2
A89013,2
A89014,1
A89015,2
A89017,4
A89018,2
A89019,1
A89022,1
A89023,2
A89024,1
A89026,3
A89028,1
A89030,1
A89032,2
A89034,1
A89035,3
A89036,1
A89040,1
A89041,1
B81003,3
B81004,2
B81005,2
B81006,4
B81009,2
B81010,5
B81011,1
B81013,1
B81014,3
B81015,2
B81016,2
B81017,1
B81018,2
B81020,1
B81022,2
B81024,1
B81025,2
B81026,1
B81027,2
B81029,2
B81030,4
B81031,2
B81034,2
B81035,1
B81036,1
B81037,3
B81038,1
B81039,5
B81040,1
B81041,1
B81043,1
B81044,1
B81045,1
B81048,2
B81049,1
B81050,1
B81051,2
B81052,1
B81053,1
B81054,3
B81055,1
B81056,3
B81058,2
B81061,5
B81062,1
B81063,3
B81065,3
B81068,2
B81069,3
B81072,1
B81081,1
B81082,1
B81084,1
B81085,1
B81087,2
B81088,3
B81090,1
B81092,1
B81099,2
B81100,1
B81101,2
B81118,2
B81119,1
B81616,1
B81619,1
B81635,2
B81653,2
B81666,1
B81674,1
B81675,1
B81677,1
B81689,1
B82002,4
B82003,1
B82004,3
B82005,8
B82007,4
B82008,2
B82010,2
B82012,3
B82013,2
B82016,2
B82017,1
B82018,2
B82020,4
B82021,1
B82025,6
B82026,11
B82028,8
B82030,1
B82031,3
B82032,2
B82033,1
B82034,1
B82036,2
B82037,1
B82038,2
B82041,3
B82042,1
B82044,3
B82048,1
B82049,3
B82050,2
B82053,4
B82059,1
B82060,1
B82061,2
B82063,2
B82066,3
B82068,1
B82069,1
B82071,2
B82073,2
B82074,1
B82075,4
B82077,1
B82079,2
B82080,4
B82081,1
B82083,9
B82088,1
B82097,3
B82098,1
B82100,2
B82101,1
B82105,1
B82619,1
B82622,1
B82627,1
B83002,1
B83006,6
B83007,1
B83008,3
B83009,1
B83010,2
B83012,2
B83014,6
B83015,2
B83017,3
B83018,5
B83019,2
B83020,2
B83021,5
B83022,2
B83023,3
B83025,1
B83027,5
B83028,1
B83029,3
B83030,1
B83032,1
B83033,8
B83034,1
B83035,2
B83037,3
B83038,4
B83039,4
B83040,2
B83041,2
B83042,3
B83045,4
B83052,1
B83054,1
B83055,8
B83056,5
B83061,2
B83062,2
B83063,4
B83064,2
B83067,3
B83611,1
B83614,1
B83620,2
B83621,1
B83622,2
B83624,8
B83626,2
B83627,2
B83629,1
B83638,1
B83653,1
B83657,1
B83661,1
B84001,3
B84002,1
B84003,1
B84004,2
B84007,6
B84008,3
B84011,1
B84012,2
B84013,1
B84014,2
B84016,5
B84019,2
B84021,1
B84612,2
B84613,2
B84618,3
B84623,1
B85001,2
B85002,2
B85004,1
B85005,2
B85006,2
B85008,1
B85009,1
B85012,1
B85014,3
B85015,3
B85016,1
B85018,3
B85019,4
B85020,1
B85021,2
B85022,2
B85024,4
B85025,4
B85026,3
B85027,1
B85028,2
B85030,3
B85031,2
B85036,1
B85038,1
B85041,3
B85042,1
B85054,4
B85059,1
B85060,1
B85061,2
B85610,2
B85612,1
B85623,1
B85636,1
B85638,1
B85641,1
B85650,1
B85652,1
B85660,1
B86002,2
B86003,2
B86004,3
B86006,2
B86010,1
B86013,1
B86015,2
B86016,1
B86020,1
B86022,4
B86023,1
B86024,2
B86029,2
B86030,1
B86032,5
B86034,3
B86036,3
B86038,3
B86039,1
B86042,1
B86044,3
B86048,3
B86049,1
B86050,5
B86051,1
B86057,1
B86058,1
B86059,1
B86062,1
B86064,6
B86066,3
B86067,2
B86071,2
B86075,1
B86081,1
B86093,1
B86094,1
B86108,1
B86109,1
B86658,1
B86672,1
B86673,2
B87001,2
B87002,3
B87003,4
B87004,1
B87005,1
B87006,5
B87007,1
B87008,3
B87009,2
B87011,1
B87013,2
B87015,1
B87016,11
B87018,1
B87019,3
B87020,3
B87021,4
B87022,1
B87023,2
B87025,1
B87026,2
B87027,3
B87028,2
B87030,4
B87033,3
B87036,1
B87039,1
B87040,2
B87042,1
B87044,1
B87604,1
C81002,1
C81003,3
C81005,2
C81006,2
C81007,1
C81008,1
C81009,1
C81010,1
C81015,1
C81016,1
C81017,1
C81018,1
C81019,1
C81020,2
C81023,2
C81026,1
C81027,1
C81029,1
C81032,3
C81033,2
C81034,1
C81035,1
C81037,1
C81038,3
C81040,1
C81041,1
C81042,1
C81045,1
C81046,1
C81047,1
C81049,1
C81050,1
C81051,2
C81052,1
C81053,1
C81054,2
C81055,1
C81059,1
C81060,1
C81061,2
C81063,2
C81065,1
C81066,1
C81067,2
C81069,2
